parcel_ref,bienes_superficie,bienes_sin_v,bienes_fantasma,m2_recuperados,m2_fantasma
8210909VK3881A,1,0,0,170,0
8211907VK3881A,1,0,0,30,0
8216907VK3881E,1,0,0,17,0
8216908VK3881E,1,0,0,20,0
8217613VK3881E,1,0,0,19,0
8211908VK3881A,1,0,0,18,0
8309412VK3880G,1,0,0,33,0
8416720VK3881F,1,0,0,28,0
8416722VK3881A,1,0,0,19,0
8314919VK3881S,1,0,0,35,0
8411101VK3881A,1,0,0,46,0
8411104VK3881A,1,0,0,19,0
8409221VK3880G,1,0,0,21,0
8514105VK3881D,1,0,0,14,0
8515907VK3881F,1,0,0,24,0
8417803VK3881E,1,0,0,8,0
8210907VK3881A,1,0,0,230,0
8509219VK3880H,1,0,0,85,0
8515603VK3881F,1,0,0,20,0
8515607VK3881F,1,0,0,24,0
8515608VK3881F,1,0,0,20,0
8410708VK3881A,1,0,0,32,0
8412701VK3881A,1,0,0,33,0
8412716VK3881A,1,0,0,25,0
8512715VK3881B,1,0,0,32,0
8511702VK3881B,1,0,0,26,0
7611907VK3771B,1,0,0,32,0
8508512VK3880H,1,0,0,15,0
8710125VK3881B,1,0,0,26,0
8711133VK3881B,1,0,0,33,0
8612809VK3881B,1,0,0,12,0
8612506VK3881D,1,0,0,34,0
8612703VK3881B,1,0,0,6,0
7820114VK3871H,1,0,0,29,0
7613534VK3871D,2,0,0,20,0
7613546VK3871D,1,0,0,30,0
8810114VK3881B,1,0,0,10,0
8810102VK3881B,1,0,0,30,0
7710207VK3871B,1,0,0,16,0
7809207VK3870H,1,0,0,30,0
8811111VK3881B,1,0,0,5,0
8811110VK3881B,1,0,0,7,0
7809212VK3870H,1,0,0,40,0
7809224VK3870H,1,0,0,29,0
8812108VK3881B,1,0,0,10,0
8813108VK3881D,1,0,0,6,0
7610120VK3871B,1,0,0,13,0
7610123VK3871B,1,0,0,18,0
8209401VK3880G,1,0,0,20,0
8509604VK3880H,1,0,0,13,0
8511713VK3881B,1,0,0,21,0
7613545VK3871D,1,0,0,21,0
7812635VK3871D,1,0,0,13,0
7815515VK3871F,1,0,0,20,0
7816136VK3871F,1,0,0,27,0
8008411VK3880G,1,0,0,26,0
8010734VK3881A,1,0,0,10,0
7712917VK3871B,1,0,0,20,0
7816144VK3871F,1,0,0,29,0
7712928VK3871D,1,0,0,29,0
8415218VK3881E,1,0,0,20,0
8416776VK3881E,1,0,0,19,0
8416777VK3881E,1,0,0,17,0
0010902VK3801A,1,0,0,108,0
1110608VK4810G,0,0,1,0,415
1639503VK4813H,1,0,0,13,0
1436503VK4813E,1,0,0,7,0
1742514VK4814D,1,0,0,51,0
1945121VK4184F,1,0,0,20,0
2532267VK4823D,0,0,1,0,332
1730102VK4813B,1,0,0,49,0
1840405VK4814B,1,0,0,69,0
1643105VK4814D,1,0,0,24,0
1726504VK4812F,1,0,0,340,0
1643111VK4814D,1,0,0,70,0
1643151VK4814D,1,0,0,35,0
1643146VK4814D,1,0,0,70,0
1643137VK4814D,1,0,0,9,0
1643132VK4814D,1,0,0,52,0
1643123VK4814D,1,0,0,60,0
1738839VK4813H,1,0,0,62,0
1738825VK4813H,1,0,0,38,0
1738829VK4813H,1,0,0,77,0
1738830VK4813H,1,0,0,84,0
1540703VK4814B,1,0,0,4,0
1540711VK4814B,1,0,0,4,0
1540712VK4814B,1,0,0,4,0
1639509VK4813H,1,0,0,7,0
1641802VK4814B,1,0,0,4,0
1641809VK4814B,1,0,0,26,0
1840402VK4814B,1,0,0,87,0
1729626VK4812H,1,0,0,13,0
1830109VK4813B,1,0,0,85,0
1833814VK4813D,1,0,0,29,0
1833413VK4813D,1,0,0,18,0
1830512VK4813B,1,0,0,67,0
1830521VK4813B,1,0,0,122,0
1933310VK4813D,1,0,0,8,0
1436512VK4813E,1,0,0,7,0
1436517VK4813E,1,0,0,7,0
1436522VK4813E,1,0,0,8,0
1436527VK4813E,1,0,0,33,0
1733907VK4813D,1,0,0,8,0
1537815VK4813F,1,0,0,6,0
1533609VK4813F,1,0,0,2,0
1536612VK4813F,1,0,0,2,0
1536614VK4813F,1,0,0,2,0
1636914VK4813F,1,0,0,6,0
1636714VK4813F,1,0,0,5,0
1737104VK4813F,1,0,0,7,0
1737105VK4813F,1,0,0,4,0
1737119VK4813F,1,0,0,6,0
1844412VK4184D,1,0,0,32,0
1830319VK4813B,1,0,0,265,0
3455704VK4385F,0,0,1,0,120
8423115VK3882C,1,0,0,15,0
9921240VK3892B,1,0,0,43,0
8524929VK3882D,1,0,0,8,0
8525609VK3882E,1,0,0,24,0
9827125VK3892F,1,0,0,31,0
0438509VK4083H,1,0,0,30,0
8925908VK3882F,1,0,0,5,0
8925907VK3882F,1,0,0,5,0
0125420VK4802E,1,0,0,20,0
9827130VK3892F,1,0,0,70,0
0638140VK4803H,1,0,0,14,0
0738908VK4083G,1,0,0,5,0
0738909VK4083G,1,0,0,5,0
0738912VK4083G,1,0,0,5,0
9724320VK3892F,1,0,0,68,0
7925226VK3872F,1,0,0,46,0
7925221VK3872F,1,0,0,32,0
9022466VK3882D,1,0,0,2,0
9022457VK3882D,1,0,0,12,0
9022449VK3882D,1,0,0,2,0
0239711VK4083H,1,0,0,24,0
0239714VK4083H,1,0,0,23,0
9724316VK3892D,1,0,0,92,0
9724302VK3892D,1,0,0,176,0
9823323VK3892D,1,0,0,60,0
9823302VK3892D,1,0,0,85,0
0022805VK4802C,1,0,0,38,0
9621302VK3892B,1,0,0,46,0
0027119VK4802E,1,0,0,41,0
9721603VK3892B,1,0,0,35,0
9721604VK3892B,1,0,0,64,0
0330806VK4803A,1,0,0,26,0
9921209VK3892B,1,0,0,28,0
9921231VK3892B,1,0,0,62,0
0330829VK4803B,1,0,0,19,0
0330835VK4802H,1,0,0,21,0
0330852VK4803A,1,0,0,28,0
0130309VK4803A,1,0,0,27,0
0130318VK4803A,1,0,0,48,0
9619633VK3891H,0,0,1,0,9
9820403VK3892B,1,0,0,30,0
0028709VK4802G,1,0,0,32,0
0229928VK4802G,1,0,0,23,0
8925605VK3882F,1,0,0,2,0
0727101VK4802H,1,0,0,2,0
8925619VK3882F,1,0,0,11,0
8925631VK3882F,1,0,0,1,0
8925652VK3882F,1,0,0,1,0
8925657VK3882F,1,0,0,2,0
8925659VK3882F,1,0,0,2,0
0727114VK4802F,1,0,0,65,0
0726109VK4802F,1,0,0,45,0
8925901VK3882F,1,0,0,3,0
9023446VK3882D,1,0,0,14,0
9023445VK3882D,1,0,0,2,0
9023412VK3882D,1,0,0,13,0
0426608VK4802F,1,0,0,88,0
0426618VK4802F,1,0,0,59,0
0426631VK4802E,1,0,0,62,0
0024814VK4802C,1,0,0,70,0
0525711VK4802D,1,0,0,13,0
0424207VK4802C,1,0,0,38,0
0424208VK4802C,1,0,0,23,0
9022430VK3882D,1,0,0,11,0
0527924VK4802G,1,0,0,50,0
0130320VK4803A,1,0,0,30,0
0537511VK4803H,1,0,0,15,0
9928214VK3892H,1,0,0,74,0
9928217VK3892H,1,0,0,54,0
0027114VK3892F,1,0,0,26,0
0125409VK4802E,1,0,0,34,0
0125413VK4802E,1,0,0,38,0
0224324VK4802C,1,0,0,38,0
0224326VK4802C,1,0,0,20,0
0324921VK4802C,1,0,0,32,0
8623701VK3882D,1,0,0,2,0
8623757VK3882D,1,0,0,2,0
9827105VK3892F,1,0,0,50,0
9827109VK3892F,1,0,0,45,0
9827113VK3892F,1,0,0,53,0
9827126VK3892F,1,0,0,29,0
9925904VK3892F,1,0,0,67,0
9925931VK3892F,1,0,0,32,0
0024812VK4802C,1,0,0,52,0
0024817VK4802C,1,0,0,51,0
0024819VK4802C,1,0,0,32,0
0024822VK4802C,1,0,0,152,0
0222409VK4802C,1,0,0,32,0
9734408VK3893F,1,0,0,290,0
0222421VK4802C,1,0,0,50,0
0222430VK4802C,1,0,0,25,0
9626211VK3892F,1,0,0,35,0
0525723VK4802D,1,0,0,15,0
9827134VK3892F,1,0,0,40,0
8925666VK3882F,1,0,0,2,0
0239752VK4083H,1,0,0,1,0
1853953VK4815D,1,0,0,33,0
1651108VK4185A,1,0,0,24,0
1651109VK4185A,1,0,0,29,0
1651118VK4185A,1,0,0,24,0
1651147VK4185A,1,0,0,23,0
1651148VK4185A,1,0,0,23,0
1450203VK4815A,1,0,0,5,0
1450206VK4815A,1,0,0,5,0
1851703VK4185B,1,0,0,25,0
1851727VK4185B,1,0,0,13,0
1851765VK4185B,1,0,0,12,0
0096402VK4809E,1,0,0,8,0
0095604VK4809E,1,0,0,2,0
0095203VK4809E,1,0,0,10,0
0195801VK4809E,1,0,0,7,0
0096808VK5709E,1,0,0,1,0
